config,score_type,valid_pr_auc,valid_roc_auc,test_pr_auc,test_roc_auc,valid_brier,valid_ece,test_brier,test_ece
et_medium,probability,0.860801674293799,0.9803893592134278,0.8364943276291591,0.9749379837658768,0.03514724292559696,0.1319464280772455,0.05832516962872008,0.16863334818251088
et_small,probability,0.8337066877586843,0.9829059023943497,0.8402583409370785,0.9752667358194065,0.03701933102239788,0.12739725615762626,0.06593062503808687,0.18196945709397047
