model,mean_pr_auc,std_pr_auc,mean_roc_auc,std_roc_auc
ExtraTrees,0.6946383986753628,0.1715436686399701,0.9359413521822486,0.07071189643190723
RandomForest,0.6755051237201954,0.16290160488618602,0.9254091656416877,0.07414147206689892
SGDClassifier,0.15765134805606784,0.14773746150215278,0.7730621044476067,0.0440147184773392
LogisticRegression,0.1098949302278562,0.14471675544875773,0.6640222417716379,0.1126884144840281
LinearSVC,0.08366912714638004,0.11002851726761621,0.6194359897882372,0.08741717851619137
Dummy,0.01752401106951001,0.0053199450226100575,0.5,0.0
