model,best_config,score_type,valid_pr_auc,valid_roc_auc,test_pr_auc,test_roc_auc,valid_brier,valid_ece,test_brier,test_ece
ExtraTrees,et_medium,probability,0.860801674293799,0.9803893592134278,0.8364943276291591,0.9749379837658768,0.03514724292559696,0.1319464280772455,0.05832516962872008,0.16863334818251088
RandomForest,rf_medium,probability,0.8362627501681318,0.9743451070988258,0.8171520282462055,0.9686292726259343,0.024786651631354985,0.10218368605877984,0.056658454906970704,0.15520309294296872
SGDClassifier,alpha_5e-5,probability,0.11495066469129858,0.851815038809363,0.49110688945690556,0.9276176435115604,0.4374733631471008,0.5524974539417201,0.09912449573802022,0.15481940437841105
LogisticRegression,plain_c0.5,probability,0.025041982778724676,0.7366802932139089,0.24031232681518977,0.8916787452024841,0.28317304442120605,0.3603821444622045,0.044215406978779986,0.038458661088305784
LinearSVC,c_0.5,decision,0.01604255335392721,0.6323155268301803,0.17516409048465298,0.8402164930354842,,,,
Dummy,prior,probability,0.010244611811690145,0.5,0.039957083132931295,0.5,0.01023437264277987,0.009732055397599559,0.03875973166092102,0.019980415923641595
