config,score_type,valid_pr_auc,valid_roc_auc,test_pr_auc,test_roc_auc,valid_brier,valid_ece,test_brier,test_ece
alpha_5e-5,probability,0.11495066469129858,0.851815038809363,0.49110688945690556,0.9276176435115604,0.4374733631471008,0.5524974539417201,0.09912449573802022,0.15481940437841105
alpha_1e-4,probability,0.10439649808801363,0.8367039206878826,0.48333128554486726,0.9233860881672455,0.4623133709620365,0.5905992875757231,0.09087709774771263,0.1431807432814395
elasticnet,probability,0.09925510286569537,0.84129752581251,0.48421220113781294,0.9268962409170126,0.3611719844543744,0.49558488094917397,0.08816643207147819,0.1481221276396863
