config,score_type,valid_pr_auc,valid_roc_auc,test_pr_auc,test_roc_auc,valid_brier,valid_ece,test_brier,test_ece
plain_c0.5,probability,0.025041982778724676,0.7366802932139089,0.24031232681518977,0.8916787452024841,0.28317304442120605,0.3603821444622045,0.044215406978779986,0.038458661088305784
plain_c1.0,probability,0.01803716876380379,0.6834601688782472,0.19216215463608177,0.8799066866203363,0.3551036873209334,0.41389176519081644,0.05656274487120787,0.05271546132785219
balanced_c1.0,probability,0.01159589467450895,0.5382213941004119,0.13882967999198612,0.8342872343614183,0.5814188779933616,0.6361541921663915,0.14363910876621414,0.1802586017594889
