model,config,score_type,valid_pr_auc,valid_roc_auc,valid_brier,valid_ece
ExtraTrees,et_medium,probability,0.9051045452532085,0.9936980965390715,0.011280125495429992,0.0443034795467941
RandomForest,rf_medium,probability,0.8887172575409323,0.9939209906475738,0.008535622961834305,0.025329304957227114
LogisticRegression,plain_c0.5,probability,0.7269885929438433,0.9782250424598198,0.008874799993832736,0.008501063161631166
SGDClassifier,alpha_5e-5,probability,0.6200023519844616,0.9753452002924683,0.023730629897362444,0.05747627839727533
LinearSVC,c_0.5,decision,0.6007841564534719,0.9537622946840587,,
Dummy,prior,probability,0.019881492414212228,0.5,0.019491573600509994,0.002314071501520274
