model,config,score_type,valid_pr_auc,valid_roc_auc,valid_brier,valid_ece
ExtraTrees,et_medium,probability,0.9051045452532085,0.9936980965390715,0.011280125495429992,0.0443034795467941
ExtraTrees,et_small,probability,0.8740501775389993,0.9914581192371728,0.023062131936657425,0.08237603214387833
